Продукт,"Жиры, г","Белки, г","Углеводы, г","Калорийность, Ккал"
Запеканка рисовая,"5,6","4,0","19,4","144,0"
Запеканка рисовая с творогом,"7,1","5,1","26,1","189,0"
Зерно мягкой пшеницы,"2,2","11,8","59,5","305,0"
"Зерно продовольственное, гречиха","3,2","10,8","56,0","296,0"
"Зерно продовольственное, кукуруза","4,9","10,3","60,0","325,0"
"Зерно продовольственное, овес","6,2","10,0","55,1","316,0"
"Зерно продовольственное, просо","3,9","11,2","54,6","298,0"
"Зерно продовольственное, рис","2,6","7,5","62,3","303,0"
"Зерно продовольственное, рожь","2,2","9,9","55,8","283,0"
"Зерно продовольственное, ячмень","2,4","10,3","56,4","288,0"
Зерно твердой пшеницы,"2,5","13,0","57,5","304,0"
Каша гречневая из крупы ядрица,"3,4","3,0","14,6","101,0"
Каша из хлопьев «Геркулес» овсяная,"4,0","2,4","14,8","105,0"
Каша манная вязкая,"2,9","2,2","16,4","100,0"
Каша овсяная,"4,1","2,6","15,5","109,0"
Каша перловая,"3,5","2,9","22,9","135,0"
Каша пшеничная рассыпчатая из крупы «Полтавская»,"3,6","4,4","25,7","153,0"
Каша пшенная,"3,4","2,8","16,8","109,0"
Каша рисовая,"3,5","2,4","25,8","144,0"
Каша ячневая,"2,9","2,1","15,3","96,0"
Клецки из муки высшего сорта,"4,1","4,1","19,4","131,0"
Котлеты манные,"5,3","3,0","20,2","141,0"
Крахмал кукурузный,"0,6","1,0","83,5","343,0"
Крекеры с отрубями,"14,1","9,2","63,2","416,0"
Крупа «Артек»,"1,2","11,0","68,5","329,0"
Крупа «Полтавская»,"1,3","11,5","67,9","329,0"
Крупа гречневая продел,"2,3","9,5","60,4","300,0"
Крупа гречневая ядрица,"3,3","12,6","57,1","308,0"
Крупа кукурузная,"1,2","8,3","71,0","328,0"
Крупа манная,"1,0","10,3","70,6","333,0"
Крупа овсяная,"6,1","12,3","59,5","342,0"
Крупа перловая ячневая,"1,1","9,3","66,9","315,0"
Крупа пшено шлифованное,"3,3","11,5","66,5","342,0"
Крупа рисовая,"1,0","7,0","74,0","333,0"
Крупа ячневая,"1,3","10,0","65,4","313,0"
Кус-кус,"0,2","3,8","23,1","111,0"
Лапша домашняя,"3,7","12,0","60,1","322,0"
Лапшевник с творогом,"7,4","7,7","20,3","180,0"
Макароны из муки 1 сорта ,"1,6","11,2","68,4","333,0"
Макароны из муки в/с,"1,3","11,0","70,5","338,0"
Макароны отварные,"0,4","3,6","20,0","98,0"
Макароны отварные с жиром,"5,0","3,4","19,0","135,0"
Макароны яичные,"2,1","11,3","69,6","342,0"
"Макароны, запеченные с яйцом","8,3","4,6","14,8","152,0"
Мука 1 сорта из зерна твердой пшеницы,"1,5","11,1","67,8","329,0"
Мука 1 сорта из муки высшего сорта,"1,3","10,6","69,0","330,0"
Мука 2 сорта из муки 1 сорта,"1,8","11,6","64,8","322,0"
Мука высшего сорта,"1,3","10,8","69,9","334,0"
Мука кукурузная,"1,5","7,2","72,1","331,0"
Мука обдирная ржаная,"1,7","8,9","61,8","298,0"
Мука обойная из муки 2 сорта,"2,2","11,5","61,5","312,0"
Овсяная каша на молоке,"3,0","5,7","13,8","84,0"
Оладьи из муки 1 сорта,"6,6","6,5","31,6","213,0"
Отварной белый рис,"0,5","2,2","24,9","116,0"
Отварной дикий рис,"0,3","4,0","21,1","100,0"
Отварной коричневый рис,"0,9","2,6","22,8","110,0"
Пампушки с чесноком из муки 1 сорта,"3,3","8,6","58,8","299,0"
Печенье сахарное из муки 1 сорта,"9,4","7,4","73,1","407,0"
Печенье сахарное из муки высшего сорта,"9,8","7,5","74,4","417,0"
Печенье сдобное из муки высшего сорта,"16,8","6,4","68,5","451,0"
Пирожки печеные простые из муки 1 сорта,"7,3","12,7","33,2","250,0"
Пряники сырцовые из муки высшего сорта,"2,1","6,3","75,6","346,0"
Пудинг рисовый,"5,7","5,6","32,0","202,0"
Рожки к чаю из муки высшего сорта,"5,6","8,4","56,8","312,0"
Сдоба обыкновенная из муки 1 сорта,"5,3","8,1","54,9","301,0"
Семя льна,"42,2","18,3","28,9","534,0"
Соломка сладкая из муки 1 сорта,"6,1","9,1","69,3","372,0"
Суп харчо с мясом и рисом,"4,5","3,1","5,5","75,0"
Суп перловый с грибами,"1,2","1,6","6,4","43,0"
Суп пшенный с мясом,"2,2","2,9","6,4","57,0"
Суп рисовый,"1,1","0,9","6,2","38,0"
Суп-пюре из рисовой крупы,"1,3","1,4","7,7","48,0"
Сухари сливочные из муки высшего сорта,"10,8","8,5","66,7","399,0"
Сушки простые из муки 1 сорта,"1,3","10,9","68,8","331,0"
Сушки простые из муки высшего сорта,"1,2","10,7","71,2","339,0"
Хлеб зерновой (мука в/с и зерно дробленое),"1,4","8,6","45,1","228,0"
Хлеб паляница из муки 1 сорта,"1,0","8,3","49,9","243,0"
Хлеб подовый (из обдирной ржаной муки),"1,2","6,1","39,9","197,0"
Хлеб подовый (из сеяной ржаной муки),"1,0","4,9","44,8","210,0"
Хлеб подовый из муки 2 сорта,"1,3","8,6","45,2","228,0"
Хлеб подовый из обойной муки,"1,5","8,0","40,1","208,0"
Хлеб пшеничный подовый из муки 1 сорта,"1,0","7,9","48,3","235,0"
Хлеб соловецкий (мука 1 и 2 сорта),"1,2","8,3","47,9","237,0"
Хлеб формовой (из обойной ржаной муки),"1,2","6,6","33,4","174,0"
Хлопья «Геркулес» овсяные,"6,2","12,3","61,8","352,0"
Агар,"0,0","2,0","0,8","12,0"
Вафли с жировыми начинками,"30,6","3,9","62,5","542,0"
Вафли с фруктово-ягодными начинками,"3,3","2,8","77,3","354,0"
Глазурь жировая,"37,2","3,9","48,9","547,0"
Глазурь шоколадная,"34,5","4,9","52,5","542,0"
Драже сахарное,"0,0","0,0","97,7","393,0"
"Зeфир, глазированный шоколадом","12,3","2,2","68,4","396,0"
Зефир,"0,1","0,8","79,8","326,0"
Ирис полутвердый,"7,6","3,3","81,5","408,0"
Ирис тираженный с орехом,"15,9","6,6","68,2","443,0"
Какао велла,"4,5","15,0","11,0","147,0"
Какао тертое,"49,4","13,5","13,6","559,0"
Какао-порошок,"15,0","24,3","10,2","289,0"
Карамель глазированная,"0,8","1,0","92,9","378,0"
Карамель леденцовая,"0,0","0,0","95,8","384,0"
Карамель с молочной начинкой,"1,0","0,8","91,2","377,0"
Карамель с фруктово-ягодной начинкой,"0,1","0,1","92,4","371,0"
Карамель с шоколадно-ореховой начинкой,"8,0","1,6","87,1","427,0"
Конфеты помадные,"16,2","3,7","70,9","445,0"
Конфеты шоколадные,"26,3","4,0","59,2","491,0"
Крахмал картофельный,"0,0","0,1","78,2","313,0"
Крахмал кукурузный,"0,6","1,0","83,5","343,0"
Мармелад желейный,"9,2","1,5","64,2","349,0"
Мед пчелиный,"0,0","0,1","79,4","321,0"
Мука из зародышей пшеницы,"0,0","0,8","80,3","328,0"
Пастила,"7,7","33,8","32,7","335,0"
"Пастила, глазированная шоколадом","0,0","0,5","80,0","324,0"
Патока кукурузная,"12,0","1,9","70,9","402,0"
Пектин,"0,3","0,0","78,3","316,0"
Пирожное бисквитное с белковым кремом,"0,0","3,5","9,3","52,0"
Пирожное вафельное молочное,"7,3","4,4","63,1","336,0"
Пирожное воздушное с кремом,"36,7","4,8","55,3","572,0"
Пирожное заварное с кремом (трубочка),"20,8","2,6","60,5","440,0"
Пирожное крошковое,"24,5","4,4","48,8","433,0"
Пирожное миндальное,"19,4","5,9","47,5","388,0"
Пирожное песочное с кремом,"16,2","8,5","63,2","433,0"
Пирожное слоеное с белковым кремом,"28,2","5,1","52,1","485,0"
Плитки кондитерские,"26,0","6,1","50,6","461,0"
Плитки кондитерские сладкие,"34,6","7,8","48,1","537,0"
Повидло морковное,"34,2","6,2","54,5","552,0"
Подварка апельсиновая,"0,4","0,5","65,8","282,0"
Подварка кабачковая,"0,1","0,4","66,3","268,0"
Подварка морковная,"0,1","0,2","67,2","272,0"
Подварка свекольная,"0,4","0,5","65,8","271,0"
Пралине с ржаной мукой,"0,1","0,5","65,9","269,0"
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)","37,7","4,7","52,0","567,0"
Рожь молотая жареная,"32,2","9,9","51,2","535,0"
Ром-баба,"1,7","7,9","68,7","322,0"
"Рулет бисквитный (производства ""Рошен"")","4,2","4,0","60,6","291,0"
Сахар-песок,"16,3","3,3","54,1","380,0"
Сахар-рафинад,"0,0","0,0","99,9","387,0"
Сироп из шиповника,"0,0","0,0","99,9","400,0"
Торт бисквитный с фруктовой начинкой,"0,0","0,2","70,5","285,0"
Торт миндальный,"2,6","3,9","61,3","285,0"
Торт слоеный,"28,7","7,8","44,6","468,0"
Фосфатидный концентрат соевый,"37,7","8,5","42,2","542,0"
Халва тахинно-арахисовая,"93,7","0,0","0,0","843,0"
Халва тахинно-шоколадная,"29,2","12,7","47,0","502,0"
Цукаты морковные,"28,1","12,8","48,4","498,0"
Чурчхела,"0,2","2,9","70,5","300,0"
Шикозин,"15,0","5,0","6,3","410,0"
Шоколад молочно-ореховый,"99,6","0,2","0,0","897,0"
Шоколад молочно-ореховый с изюмом,"33,9","7,5","51,3","542,0"
Шоколад горький,"30,3","8,0","48,2","500,0"
Шоколад молочный,"35,4","6,2","48,2","539,0"
Шоколад ореховый,"34,7","9,8","50,4","554,0"
Шоколад полугорький,"33,8","7,3","49,7","534,0"
Шоколад сладкий,"35,4","4,5","52,5","549,0"
Шоколад сливочный,"34,0","3,0","57,6","550,0"
Шоколадная паста,"35,5","6,3","53,7","560,0"
"Cливки пастеризованные 20,0% жирности","30,6","8,2","56,6","536,0"
Бри,"3,2","2,8","8,6","77,0"
"Варенец 2,5% жирности","66,0","50,0","1,0","802,0"
Гауда,"2,5","2,9","4,1","53,0"
Дор Блю,"27,0","25,0","2,0","356,0"
"Йогурт плодово-ягодный, 1,5% жирности","29,0","21,0","2,0","353,0"
"Йогурт сладкий 3,2% жирности","1,5","4,0","14,3","90,0"
Какао со сгущенным молоком и сахаром,"6,0","5,0","3,5","92,0"
Камамбер,"7,5","8,2","51,6","321,0"
"Кефир 1,0% жирности","24,0","20,0","0,0","300,0"
Кефир нежирный,"1,0","3,0","4,0","40,0"
"Кефир 2,5% жирности","0,1","3,0","4,0","31,0"
"Кефир 3,2% жирности","2,5","2,9","4,0","53,0"
Кофе натуральный со сгущенным молоком ,"3,2","2,9","4,0","59,0"
"Молоко пастеризованное 3,5% жирности","23,0","7,1","27,1","345,0"
"Молоко пастеризованное, 1,5% жирности","3,5","2,9","4,7","62,0"
"Молоко пастеризованное, 2,5% жирности","1,5","3,0","4,8","45,0"
Молоко сгущенное нежирное,"2,5","2,9","4,8","54,0"
"Молоко стерилизованное 3,2% жирности","0,2","6,6","10,8","71,0"
"Молоко стерилизованное 3,5% жирности","3,2","3,0","4,7","60,0"
"Молоко стерилизованное, 1,5% жирности","3,5","3,0","4,7","63,0"
"Молоко стерилизованное, 2,5% жирности","1,5","3,0","4,8","45,0"
"Молоко стерилизованное, «Можайское» 3,0% жирности","2,5","2,9","4,8","54,0"
Молоко топленое нежирное,"3,0","2,9","4,7","58,0"
"Молоко топленое 4,0% жирности","0,1","3,0","5,0","32,0"
Молоко «Дружба» сгущенное с сахаром,"4,0","2,9","4,7","67,0"
Молоко «Славянское» сгущенное с сахаром нежирное,"2,5","7,4","54,6","271,0"
Молоко белковое,"0,2","7,4","57,1","261,0"
"Молоко пастеризованное 3,2% жирности","1,0","4,3","6,4","52,0"
Молоко пастеризованное нежирное,"3,2","2,9","4,7","60,0"
Молоко сгущенное с сахаром нежирное,"0,1","3,0","4,9","32,0"
"Молоко сгущенное с сахаром 8,5% жирности","0,2","7,5","56,8","259,0"
"Молоко сгущенное с сахаром, 5,0% жирности","8,5","7,2","55,5","328,0"
"Молоко сгущенное стерилизованное 7,8% жирности","5,0","7,1","55,2","295,0"
"Молоко сухое """"Смоленское"""" 15,0% жирности","7,8","6,4","10,3","138,0"
Молоко сухое нежирное,"15,0","28,5","44,7","432,0"
"Молоко сухое цельное 25,0% жирности","1,0","33,2","52,6","362,0"
"Молоко топленое 1,0% жирности","25,0","24,2","39,3","483,0"
Молочное мороженое,"1,0","3,0","4,8","40,0"
Мороженое молочное в шоколадной глазури,"3,5","3,7","21,3","132,0"
Мороженое молочное крем-брюле,"15,0","3,2","20,6","231,0"
Мороженое молочное с плодами и ягодами,"3,5","3,7","22,9","138,0"
Мороженое молочное шоколадное,"2,8","3,2","21,2","124,0"
Мороженое пломбир,"3,7","3,6","21,2","133,0"
Мороженое пломбир в шоколадной глазури,"15,0","3,7","20,4","232,0"
Мороженое пломбир крем-брюле,"24,0","3,2","20,1","310,0"
Мороженое пломбир с плодами и ягодами,"15,0","3,7","22,4","240,0"
Мороженое пломбир шоколадный,"12,0","3,2","21,1","206,0"
Мороженое сливочное,"15,0","3,6","20,4","231,0"
Мороженое сливочное в шоколадной глазури,"10,0","3,7","19,4","183,0"
Мороженое сливочное крем-брюле,"20,0","3,2","19,4","271,0"
Мороженое сливочное с плодами и ягодами,"10,0","3,7","21,4","191,0"
Мороженое сливочное шоколадное,"8,0","3,2","20,1","166,0"
Моцарелла,"10,0","3,6","20,0","185,0"
"Напиток «Снежок» 2,5% жирности","22,0","22,0","21,0","300,0"
"Напиток «Снежок», плодово-ягодный 1,0% жирности","2,5","2,7","10,8","79,0"
"Напиток «Юбилейный», 1,0% жирности","1,0","2,7","12,2","69,0"
"Напиток «Юбилейный», 2,5% жирности","1,0","3,0","4,1","40,0"
"Напиток «Юбилейный», плодово-ягодный, 2,5% жирности","2,5","2,9","4,1","53,0"
"Напиток плодово-ягодный, 1,0% жирности","2,5","2,6","12,2","84,0"
"Напиток кисломолочный, «Бифидин» 2,5% жирности","1,0","2,7","12,2","71,0"
Пармезан тертый,"2,5","3,4","5,5","61,0"
"Паста ацидофильная, сладкая 8,0% жирности","29,0","38,0","4,0","431,0"
"Паста ацидофильная, сладкая, нежирная","8,0","6,6","25,5","203,0"
Паста молочная белковая,"0,2","5,5","13,5","81,0"
"Паста ацидофильная 4,0% жирности","0,2","11,0","2,0","57,0"
Пахта «Идеал» пастеризованная,"4,0","5,5","20,5","143,0"
"Пахта «Идеал», сквашенная","1,0","3,3","4,7","41,0"
"Продукт кисломолочный «Тонус» 2,5% жирности","1,0","3,3","3,8","40,0"
"Простокваша цитрусовая, 1,0% жирности","2,5","2,9","4,1","53,0"
"Простокваша 1,0% жирности","1,0","2,7","10,1","63,0"
"Простокваша 2,5% жирности","1,0","3,0","4,1","40,0"
"Простокваша 3,2% жирности","2,5","2,9","4,1","53,0"
"Простокваша «Мечниковская» 4,0% жирности","3,2","2,9","4,1","59,0"
"Простокваша «Цитрусовая» 2,5% жирности","4,0","2,8","4,1","66,0"
Простокваша нежирная,"2,5","2,6","10,1","76,0"
Пудинг из творога (творог п/жирный),"0,1","3,0","3,8","30,0"
Рикотта,"9,6","13,9","20,1","224,0"
"Ряженка 1,0% жирности","13,0","11,0","3,0","174,0"
"Ряженка 2,5% жирности","1,0","3,0","4,2","40,0"
"Ряженка 4,0% жирности","2,5","2,9","4,2","54,0"
"Ряженка 6,0% жирности","4,0","2,8","4,2","67,0"
"Сливки пастеризованные 10,0% жирности","6,0","3,0","4,1","85,0"
"Сливки пастеризованные 8,0% жирности","10,0","2,7","4,5","119,0"
"Сливки стерилизованные 10,0% жирности","8,0","2,8","4,5","102,0"
"Сливки пастеризованные 35,0% жирности","10,0","2,7","4,4","119,0"
"Сливки сгущеные с сахаром 19,0% жирности","35,0","2,2","3,2","337,0"
"Сливки стерилизованные 25,0% жирности","19,0","8,0","47,0","392,0"
"Сливки сухие 42,0% жирности","25,0","2,4","3,9","251,0"
"Сметана 10,0% жирности","42,0","19,0","30,2","577,0"
"Сметана 15,0% жирности","10,0","2,7","3,9","119,0"
"Сметана 20,0% жирности","15,0","2,6","3,6","162,0"
"Сметана 25,0% жирности","20,0","2,5","3,4","206,0"
"Сметана 30,0% жирности","25,0","2,4","3,2","250,0"
"Сметана «Домашняя» 10,0% жирности","30,0","2,3","3,1","293,0"
Суп молочный с макаронами,"10,0","3,8","5,6","130,0"
Суп молочный с рисом,"1,9","2,2","7,9","58,0"
Суп молочный с тыквой и манной крупой,"1,9","1,8","7,3","54,0"
Суп молочный с белокочанной капустой,"2,2","2,0","5,4","50,0"
"Сыр домашний 4,0% жирности","2,0","2,0","6,8","54,0"
Сыр домашний нежирный,"4,0","17,0","1,5","113,0"
Сыр плавленый «Золушка»,"0,6","18,0","1,5","86,0"
Сыр плавленый «Костромской»,"10,8","15,2","23,8","254,0"
Сыр плавленый «Медовый»,"19,2","21,4","2,3","269,0"
Сыр плавленый «Мятный»,"16,5","6,1","29,4","291,0"
Сыр плавленый «Российский»,"19,1","7,9","32,7","335,0"
Сыр плавленый «Сказка»,"23,0","20,5","2,5","300,0"
Сыр плавленый «Сластена»,"18,0","12,2","26,1","316,0"
Сыр плавленый копченый «Колбасный»,"11,4","13,0","28,4","269,0"
Сыр сычужный мягкий «Адыгейский»,"19,4","21,2","3,7","275,0"
Сыр сычужный мягкий «Рокфор»,"19,8","19,8","1,5","264,0"
Сыр сычужный мягкий «Русский камамбер»,"27,5","20,5","0,0","335,0"
Сыр сычужный полутвердый «Литовский»,"28,8","15,3","0,1","324,0"
Сыр сычужный полутвердый «Прибалтийский»,"14,7","27,9","0,0","250,0"
Сыр сычужный рассольный «Брынза» из коровьего молока,"9,0","29,8","0,0","207,0"
Сыр сычужный рассольный «Брынза» из овечьего молока,"19,2","22,1","0,4","262,0"
Сыр сычужный рассольный «Сулугуни»,"18,8","21,1","0,3","260,0"
Сыр сычужный твердый «Голландский» (круглый),"22,0","20,5","0,4","286,0"
Сыр сычужный твердый «Бийский»,"30,4","23,7","0,0","375,0"
Сыр сычужный твердый «Голландский» (брусковый),"29,9","24,2","0,0","371,0"
Сыр сычужный твердый «Костромской»,"26,6","26,3","0,0","350,0"
Сыр сычужный твердый «Латвийский»,"26,1","25,6","0,0","343,0"
Сыр сычужный твердый «Пошехонский»,"24,1","23,3","0,0","316,0"
Сыр сычужный твердый «Российский»,"26,1","26,0","0,0","344,0"
Сыр сычужный твердый «Советский»,"29,5","23,2","0,0","364,0"
Сыр сычужный твердый «Сусанинский»,"31,1","24,4","0,0","385,0"
Сыр сычужный твердый «Угличский»,"23,9","23,8","0,0","315,0"
Сыр сычужный твердый «Чеддер»,"26,3","25,8","0,0","347,0"
Сыр сычужный твердый «Швейцарский»,"30,8","23,5","0,0","380,0"
Сыр сычужный твердый «Ярославский»,"31,6","24,6","0,0","391,0"
"Сырки глазированные с ванилином 10,9% жирности","26,6","26,2","0,0","350,0"
"Сырки глазированные с ванилином 27,7% жирности","10,9","9,4","33,1","270,0"
"Сырки и масса творожная «Цитрон» сладкие, 8,0% жирности","27,7","7,9","32,6","413,0"
"Сырки и масса творожная сладкая с ванилином 16,5% жирности","8,0","15,0","11,5","181,0"
"Сырки творожные детские 23,0% жирности","16,5","12,0","9,5","283,0"
Сырники из творога (творог нежирный),"23,0","9,1","18,5","319,0"
Сырники из творога и картофеля,"3,6","18,6","18,2","183,0"
Сырники с морковью,"7,7","11,9","15,2","180,0"
"Творог «Столовый» 2,0% жирности","11,5","12,9","18,8","232,0"
"Творог мягкий диетический 4,0% жирности","2,0","20,0","3,0","114,0"
"Творог мягкий диетический, нежирный","4,0","21,0","3,0","136,0"
"Творог мягкий диетический, нежирный плодово-ягодный","0,6","22,0","3,3","110,0"
Творог нежирный,"0,5","18,2","14,0","138,0"
"Творог полужирный 9,0% жирности","0,6","22,0","3,3","110,0"
"Творог «Крестьянский» 5,0% жирности","9,0","18,0","3,0","169,0"
"Творог жирный 18,0% жирности","5,0","21,0","3,0","145,0"
"Творог мягкий диетический 11,0% жирности","18,0","15,0","2,8","236,0"
"Творог мягкий диетический, плодово-ягодный, 4,0% жирности","11,0","16,0","3,0","178,0"
Творожная масса с изюмом,"4,0","17,3","13,7","164,0"
Тильзитер,"21,6","6,8","29,9","343,0"
Фета,"26,0","24,0","2,0","340,0"
Чеддер,"21,0","14,0","4,0","264,0"
Эдам,"33,0","25,0","1,0","403,0"
«Армавирская» полукопченая колбаса,"28,0","25,0","1,0","357,0"
«Брауншвейгская» сырокопченая колбаса,"40,1","15,1","0,3","423,0"
«Говяжья» вареная колбаса,"42,2","27,7","0,2","491,0"
«Диетическая» вареная колбаса,"11,7","15,0","0,2","165,0"
«Докторская» вареная колбаса,"13,5","12,1","0,0","170,0"
«Дорожная» сырокопченая колбаса,"22,2","12,8","1,5","257,0"
«Зеленоградская» с мясом утки вареная колбаса,"47,7","17,0","0,4","498,0"
«Зернистая» сырокопченая колбаса,"12,1","17,2","2,2","187,0"
«Любительская» вареная колбаса,"62,8","9,9","0,3","606,0"
«Любительская» варено-копченая колбаса,"28,0","12,2","0,1","301,0"
«Молочная» вареная колбаса,"39,0","17,2","0,2","420,0"
«Молочные» сосиски,"22,8","11,7","0,2","252,0"
«Московская» варено-копченая колбаса,"23,9","11,0","0,4","261,0"
«Одесская» полукопченая колбаса,"36,6","19,1","0,2","406,0"
«Олимпийская» сырокопченая колбаса,"38,1","14,8","0,3","402,0"
«Отдельная» вареная колбаса,"39,1","21,1","0,4","436,0"
«Охотничьи» полукопченые колбаски,"11,0","11,0","1,7","240,0"
«Подмосковная» с куриным мясом вареная колбаса,"40,0","25,3","0,3","463,0"
«Русская» вареная колбаса,"11,6","17,2","1,7","180,0"
«Русские» сосиски,"11,0","11,5","1,7","302,0"
«Свиная» вареная колбаса,"22,0","11,3","1,7","250,0"
«Свиная» сырокопченая колбаса,"25,8","10,8","0,5","277,0"
«Сервелат» сырокопченая колбаса,"57,0","13,0","0,2","566,0"
«Столичные» сосиски,"40,5","24,0","0,2","461,0"
«Столовая» вареная колбаса,"20,3","12,2","0,5","234,0"
«Таллинская» полукопченая колбаса,"20,2","11,1","1,8","234,0"
«Телячья» вареная колбаса,"33,8","17,1","0,2","373,0"
«Чайная» вареная колбаса,"28,3","13,2","0,3","308,0"
Азу из говядины,"18,4","11,7","1,7","216,0"
Антрекот из говядины,"4,0","6,3","10,2","103,0"
Баранина жареная по 1-396,"11,2","29,6","0,0","220,0"
Баранина отварная по 1-392,"19,4","22,4","0,0","264,0"
Баранина тушеная по 1-422,"17,4","21,8","0,0","244,0"
"Баранина 1 кат,","12,7","10,3","3,6","170,0"
"Баранина 2 кат,","16,3","15,6","0,0","209,0"
Баранина сырая,"9,6","19,8","0,0","166,0"
Бедро курицы без кожи сырое,"24,4","22,0","0,0","314,0"
Бедро курицы с кожей сырое,"10,8","25,7","0,0","207,0"
Белое мясо индейки сырое,"15,4","24,9","0,0","245,0"
Бефстроганов из говядины,"2,0","24,0","0,0","115,0"
Биточки паровые из говядины,"11,3","16,7","5,9","193,0"
Биточки паровые из мяса кур,"10,8","14,5","9,1","192,0"
Биточки с рисом из говядины,"7,2","18,6","9,3","176,0"
Бифштекс из говядины с яйцом,"5,5","5,0","18,5","144,0"
Бифштекс из говядины,"20,8","21,5","0,4","275,0"
Бифштекс из говядины рубленый,"11,2","29,2","0,0","216,0"
"Бройлеры (цыплята) 1 кат,","25,6","18,4","0,0","306,0"
"Бройлеры (цыплята) 2 кат,","16,1","18,7","0,0","220,0"
Бутерброд с «любительской» вареной колбасой,"11,2","19,7","0,0","180,0"
Бутерброд с отварной говядиной,"14,3","8,5","14,2","220,0"
Вареная колбаса «Для завтрака»,"3,7","7,6","14,2","122,0"
Вареники ленивые отварные,"13,9","13,0","2,4","187,0"
Говядина жареная,"7,0","13,2","13,8","173,0"
Говядина отварная,"6,0","28,4","0,0","168,0"
Говядина тушеная,"16,8","25,8","0,0","254,0"
"Говядина 1 кат,","5,4","13,6","3,3","116,0"
"Говядина 2 кат,","16,0","18,6","0,0","218,0"
Говяжий фарш сырой,"9,8","20,0","0,0","168,0"
Говяжий язык отварной,"20,0","17,2","0,0","254,0"
Говяжье сердце тушеное в соусе,"15,0","24,0","2,7","231,0"
Говяжьи сардельки,"6,3","10,3","5,0","113,0"
